,Car Name,Price,EMI,Features,Location,Car Brand,Model,Model Year,Gear,Driven (Kms),Ownership,Fuel,EMI (monthly)
1615,2015 Honda CityV MT PETROL Manual,"5,52,199","â‚¹12,283/month","1,50,305 km
1st Owner
Petrol",Mumbai,Honda,['CityV MT PETROL'],2015,['Manual'],"1,50,305",1,Petrol,"12,283"
1616,2019 Hyundai Creta1.6 VTVT SX AUTO Automatic,"14,67,199","â‚¹32,637/month","21,909 km
1st Owner
Petrol",Mumbai,Hyundai,['Creta1.6 VTVT SX AUTO'],2019,['Automatic'],"21,909",1,Petrol,"32,637"
1617,2016 Honda Jazz1.2 V MT Manual,"5,34,599","â‚¹11,892/month","11,396 km
2nd Owner
Petrol",Mumbai,Honda,['Jazz1.2 V MT'],2016,['Manual'],"11,396",2,Petrol,"11,892"
1618,2015 Honda Jazz1.2 V AT Automatic,"5,46,099","â‚¹12,148/month","66,427 km
1st Owner
Petrol",Mumbai,Honda,['Jazz1.2 V AT'],2015,['Automatic'],"66,427",1,Petrol,"12,148"
1619,2016 Maruti ErtigaVDI SHVS Manual,"7,50,699","â‚¹16,699/month","31,217 km
1st Owner
Diesel",Mumbai,Maruti,['ErtigaVDI SHVS'],2016,['Manual'],"31,217",1,Diesel,"16,699"
1620,2013 Maruti SwiftZXI Manual,"4,41,699","â‚¹9,825/month","98,145 km
1st Owner
Petrol",Mumbai,Maruti,['SwiftZXI'],2013,['Manual'],"98,145",1,Petrol,"9,825"
1621,2014 Maruti SwiftVDI Manual,"4,87,999","â‚¹10,855/month","78,579 km
1st Owner
Diesel",Mumbai,Maruti,['SwiftVDI'],2014,['Manual'],"78,579",1,Diesel,"10,855"
1622,2014 Volkswagen PoloHIGHLINE1.2L PETROL Manual,"4,68,999","â‚¹10,433/month","54,781 km
1st Owner
Petrol",Mumbai,Volkswagen,['PoloHIGHLINE1.2L PETROL'],2014,['Manual'],"54,781",1,Petrol,"10,433"
1623,2016 Hyundai Elite i20SPORTZ 1.2 Manual,"5,31,899","â‚¹11,832/month","56,445 km
2nd Owner
Petrol",Mumbai,Hyundai,['Elite i20SPORTZ 1.2'],2016,['Manual'],"56,445",2,Petrol,"11,832"
1624,2016 Volkswagen AmeoCOMFORTLINE 1.2 Manual,"4,23,699","â‚¹9,425/month","51,419 km
3rd Owner
Petrol",Mumbai,Volkswagen,['AmeoCOMFORTLINE 1.2'],2016,['Manual'],"51,419",3,Petrol,"9,425"
1625,2019 Ford Ecosport1.5 TITANIUM PLUS TI VCT AT Automatic,"10,27,199","â‚¹22,849/month","10,102 km
1st Owner
Petrol",Mumbai,Ford,['Ecosport1.5 TITANIUM PLUS TI VCT AT'],2019,['Automatic'],"10,102",1,Petrol,"22,849"
1626,2017 Maruti Vitara BrezzaLDI OPT Manual,"7,14,699","â‚¹15,898/month","70,598 km
1st Owner
Diesel",Mumbai,Maruti,['Vitara BrezzaLDI OPT'],2017,['Manual'],"70,598",1,Diesel,"15,898"
1627,2018 Maruti DzireVDI Manual,"7,56,699","â‚¹16,832/month","64,285 km
1st Owner
Diesel",Mumbai,Maruti,['DzireVDI'],2018,['Manual'],"64,285",1,Diesel,"16,832"
1628,2015 Maruti CelerioVXI AMT Automatic,"3,96,399","â‚¹8,818/month","46,943 km
1st Owner
Petrol",Mumbai,Maruti,['CelerioVXI AMT'],2015,['Automatic'],"46,943",1,Petrol,"8,818"
1629,2020 KIA SELTOSHTK PLUS AT 1.5 DIESEL Automatic,"16,01,299","â‚¹35,620/month","20,305 km
1st Owner
Diesel",Mumbai,KIA,['SELTOSHTK PLUS AT 1.5 DIESEL'],2020,['Automatic'],"20,305",1,Diesel,"35,620"
1630,2018 Honda Amaze1.2 V MT I-VTEC Manual,"6,09,099","â‚¹13,549/month","25,916 km
2nd Owner
Petrol",Mumbai,Honda,['Amaze1.2 V MT I-VTEC'],2018,['Manual'],"25,916",2,Petrol,"13,549"
1631,2016 Hyundai Grand i10ASTA 1.2 (O) VTVT Manual,"4,84,299","â‚¹10,773/month","36,906 km
2nd Owner
Petrol",Mumbai,Hyundai,['Grand i10ASTA 1.2 (O) VTVT'],2016,['Manual'],"36,906",2,Petrol,"10,773"
1632,2017 Maruti Swift DzireZDI AMT Automatic,"5,94,599","â‚¹13,227/month","63,133 km
2nd Owner
Diesel",Mumbai,Maruti,['Swift DzireZDI AMT'],2017,['Automatic'],"63,133",2,Diesel,"13,227"
1633,2016 Volkswagen PoloGT TSI 1.2 PETROL AT Automatic,"6,35,899","â‚¹14,145/month","48,730 km
2nd Owner
Petrol",Mumbai,Volkswagen,['PoloGT TSI 1.2 PETROL AT'],2016,['Automatic'],"48,730",2,Petrol,"14,145"
1634,2018 Ford Ecosport1.5 TDCI TITANIUM PLUS Manual,"9,22,199","â‚¹20,514/month","21,618 km
1st Owner
Diesel",Mumbai,Ford,['Ecosport1.5 TDCI TITANIUM PLUS'],2018,['Manual'],"21,618",1,Diesel,"20,514"
1635,2014 Maruti Alto 800LXI Manual,"2,40,099","â‚¹5,341/month","1,14,574 km
2nd Owner
Petrol",Mumbai,Maruti,['Alto 800LXI'],2014,['Manual'],"1,14,574",2,Petrol,"5,341"
